hip_id,ra_degrees,dec_degrees,magnitude
25,0.0794,-44.2903,6.28
34,0.0995,26.9182,6.43
43,0.1291,59.5597,6.18
50,0.1429,-53.0977,6.49
63,0.1817,45.2533,6.36
88,0.2692,-48.8099,5.71
106,0.3302,49.9816,6.22
107,0.3338,-50.3374,5.53
122,0.3994,-77.0653,4.78
124,0.4042,61.2228,5.58
128,0.4138,73.6119,6.5
137,0.4327,42.3671,6.25
145,0.456,-3.0275,5.13
154,0.49,-6.014,4.37
171,0.5402,27.0845,5.8
183,0.583,-29.7204,5.04
186,0.6007,8.9568,6.33
194,0.624,8.4856,5.7
207,0.6503,66.099,5.87
238,0.7393,-20.0461,6.25
253,0.7826,-24.1451,6.46
274,0.8572,63.6405,6.24
301,0.9349,-17.336,4.55
302,0.9651,66.7122,6.31
330,1.0569,62.2877,5.9
343,1.0823,-16.5289,5.78
345,1.0846,-29.2688,6.38
355,1.1255,-10.5095,4.99
365,1.1525,42.0926,6.11
377,1.1719,-71.4369,5.59
379,1.1743,67.1664,5.68
394,1.2217,34.6596,6.09
399,1.233,26.6488,6.25
410,1.2547,27.6748,6.47
417,1.2658,-0.5029,6.32
418,1.2756,61.314,5.8
443,1.3339,-5.7078,4.61
476,1.4247,13.3963,5.55
518,1.5647,58.4367,5.98
522,1.5778,-49.0751,5.7
531,1.6105,64.1962,5.57
544,1.6522,29.0219,6.07
560,1.7084,-23.1074,6.19
602,1.8261,-17.387,6.2
635,1.9337,-2.5487,6.43
636,1.9452,-22.5085,5.93
655,2.0147,-33.5293,5.67
664,2.0504,-2.4477,6.18
671,2.0731,-8.824,5.99
677,2.0965,29.0908,2.07
695,2.1369,63.204,6.41
696,2.1395,-17.578,6.11
699,2.1709,36.6274,6.21
716,2.217,25.4629,6.24
728,2.2507,28.2476,6.47
729,2.2597,18.212,5.57
730,2.2598,-54.002,6.32
746,2.292,59.1502,2.28
760,2.3326,79.7146,6.01
761,2.3376,-27.9879,5.42
765,2.3522,-45.747,3.88
798,2.4671,-62.2968,6.34
813,2.5091,11.1458,5.54
814,2.5095,-82.224,5.29
840,2.5785,-5.2485,5.84
841,2.5802,46.0723,5.01
873,2.6781,-12.5798,5.84
910,2.8163,-15.4673,4.89
930,2.8934,-27.7998,5.41
950,2.9329,-35.1334,5.24
967,2.996,48.1524,6.18
983,3.0415,-17.9382,5.29
1009,3.142,44.7072,6.5
1067,3.309,15.1836,2.83
1074,3.3315,-84.994,5.78
1076,3.3497,26.9876,6.24
1086,3.3789,41.0357,5.71
1096,3.4259,-26.0222,5.94
1099,3.4349,-26.285,6.14
1123,3.5095,33.2061,6.22
1158,3.615,-7.7805,5.13
1168,3.6505,20.2067,4.79
1170,3.6601,-18.9327,4.44
1191,3.7271,-9.5696,5.77
1193,3.7328,22.2843,6.25
1195,3.7425,-34.9042,6.17
1196,3.7449,8.821,6.02
1208,3.7789,31.5357,6.34
1215,3.794,27.2835,6.35
1269,3.9786,61.0002,6.43
1268,3.9789,-75.9116,6.49
1288,4.0366,-31.4463,5.66
1296,4.0579,76.9508,6.35
1302,4.0896,43.5951,6.12
1319,4.1419,8.2402,6.12
1331,4.1764,-20.2101,6.5
1354,4.2377,61.5332,5.74
1366,4.2731,38.6817,4.61
1372,4.2877,47.9474,5.86
1402,4.3862,-19.0511,6.46
1415,4.4294,51.4331,6.11
1421,4.4485,1.6887,6.19
1465,4.5719,11.2063,6.07
1473,4.5821,36.7853,4.51
1493,4.6592,31.5172,5.88
1499,4.6734,-8.0527,6.47
1501,4.6756,43.7911,6.1
1502,4.6772,-43.2356,6.33
1562,4.857,-8.8238,3.56
1575,4.9232,40.7295,6.35
1599,5.008,-64.8776,4.23
1630,5.1016,30.9356,5.89
1639,5.1288,48.9686,6.46
1645,5.1494,8.1902,5.38
1647,5.1627,-69.6249,5.5
1657,5.1897,32.9112,5.79
1686,5.2801,37.9687,5.16
1706,5.3698,-77.4269,5.96
1708,5.3799,-28.9813,5.18
1728,5.4426,-20.058,5.61
1772,5.606,13.4824,6.25
1803,5.7148,-12.2096,6.39
1821,5.7681,-15.9426,6.43
1921,6.0652,52.0199,5.58
1939,6.1236,-2.219,6.08
1948,6.1589,14.3155,6.48
1960,6.1979,61.8311,5.38
1982,6.2766,53.0468,5.72
2006,6.3509,1.9397,5.77
2021,6.4133,-77.255,2.82
2072,6.5505,-43.6799,3.93
2081,6.5703,-42.3051,2.4
2086,6.5906,-18.6936,6.24
2100,6.6557,-0.0495,6.16
2159,6.8112,-25.5471,5.99
2178,6.8792,16.0255,6.44
2210,6.9821,-33.007,4.86
2213,6.9937,19.5141,6.4
2219,7.0119,17.8931,5.01
2224,7.0529,16.4451,6.05
2225,7.0566,44.3945,5.18
2235,7.0835,10.1903,6.05
2237,7.0882,-20.3348,6.44
2240,7.1101,-39.9149,5.42
2256,7.1791,-50.5328,6.26
2270,7.2361,36.8997,6.28
2337,7.4659,-14.864,6.15
2353,7.5098,-3.9573,5.72
2355,7.5306,29.7517,5.2
2377,7.583,59.9776,5.94
2381,7.5945,-23.7877,5.17
2383,7.6082,-48.2147,5.67
2388,7.6159,-40.9396,6.18
2422,7.7258,77.0195,6.18
2472,7.8536,-48.8036,4.76
2474,7.855,66.5196,6.18
2475,7.8567,33.5817,5.88
2484,7.8857,-62.9581,4.36
2487,7.889,-62.9654,4.53
2497,7.9217,52.8396,5.59
2505,7.943,54.5223,4.74
2548,8.099,6.9555,5.69
2568,8.1475,20.2944,5.38
2578,8.1825,-63.0314,5.07
2583,8.2045,28.2802,6.26
2599,8.2499,62.9318,4.17
2611,8.293,54.8951,5.93
2628,8.33,70.9818,6.41
2629,8.3468,-71.2662,6.11
2661,8.4211,-29.5582,5.55
2663,8.4327,-35.0008,6.41
2707,8.6037,66.7504,6.47
2711,8.6151,-52.3732,5.57
2734,8.7309,13.3713,6.39
2762,8.811,-3.5928,5.2
2787,8.8865,-0.5055,5.94
2789,8.8888,-54.8217,6.04
2802,8.9214,-48.0007,5.51
2832,8.9787,13.2075,6.32
2846,9.0133,-14.9729,6.45
2852,9.0288,-22.8422,6.06
2854,9.0345,54.1685,5.08
2876,9.1139,60.3262,5.78
2889,9.1566,-65.1244,6.43
2900,9.1936,44.4885,5.14
2903,9.1971,15.2318,5.89
2912,9.2202,33.7194,4.34
2920,9.2428,53.8969,3.69
2926,9.28,24.0142,6.18
2937,9.3257,-54.3938,6.4
2941,9.3324,-24.7672,5.57
2942,9.3384,35.3995,5.45
2954,9.3768,3.1355,6.43
3031,9.6396,29.3124,4.34
3056,9.7031,-25.1078,6.43
3083,9.7912,49.3546,5.45
3092,9.8317,30.8612,3.27
3093,9.8421,21.2514,5.88
3132,9.949,82.4936,6.38
3137,9.9663,-44.7963,6.0
3138,9.9815,21.4386,5.36
3170,10.1027,-59.4557,5.89
3175,10.119,-16.5166,6.49
3179,10.1266,56.5374,2.24
3185,10.135,-23.804,6.14
3193,10.1766,-4.3518,5.9
3231,10.28,39.4587,5.3
3245,10.3316,-46.085,4.59
3269,10.3999,24.6291,6.06
3277,10.4429,-56.5015,5.72
3299,10.5143,66.1476,5.83
3300,10.5162,50.5125,4.8
3330,10.6179,-65.4681,5.38
3334,10.6292,58.7534,6.18
3352,10.6735,-60.2627,5.99
3356,10.6787,-38.4635,6.05
3405,10.8385,-57.4631,4.36
3414,10.867,47.0246,4.95
3419,10.8968,-17.9867,2.04
3436,10.9587,-12.0113,6.01
3455,11.0475,-10.6093,4.77
3456,11.0496,-38.422,5.9
3478,11.1093,47.864,5.66
3489,11.1313,-62.4976,6.06
3504,11.1813,48.2844,4.48
3505,11.1852,-22.0063,5.22
3521,11.238,-42.6763,5.94
3527,11.2488,-53.7149,6.15
3544,11.3217,55.2214,5.41
3552,11.3504,-4.6293,6.15
3559,11.3696,-12.8803,6.15
3572,11.413,74.9881,5.64
3576,11.4238,-16.4242,6.47
3583,11.4393,-47.5522,5.8
3604,11.545,44.8615,6.03
3607,11.5485,-22.5221,5.49
3632,11.6374,15.4756,5.36
3641,11.6593,69.3254,6.39
3649,11.6769,59.5745,6.41
3675,11.7559,11.9739,5.51
3685,11.8065,19.5787,6.11
3693,11.835,24.2674,4.08
3697,11.8484,6.741,5.98
3717,11.93,-18.0614,5.7
3721,11.9417,74.8476,5.42
3741,12.0044,-21.7225,5.57
3750,12.037,72.6745,5.86
3760,12.0723,7.2999,5.92
3765,12.0939,5.2834,5.74
3781,12.1463,-74.9234,5.09
3786,12.1704,7.5852,4.44
3801,12.2083,50.9682,4.9
3807,12.2364,-46.6977,6.28
3810,12.2446,16.9411,5.07
3821,12.2713,57.8165,3.46
3834,12.3079,-24.1365,5.9
3849,12.3565,-13.561,5.59
3858,12.3893,-23.3621,6.27
3881,12.4535,41.079,4.53
3885,12.4713,27.7103,5.55
3903,12.5157,-43.3949,6.49
3909,12.5322,-10.6438,5.17
3919,12.5759,45.0022,6.13
3949,12.6714,-50.9869,5.24
3951,12.6816,64.2476,5.35
3965,12.7386,51.508,6.38
3988,12.8183,61.8055,6.04
3992,12.8263,3.3852,6.39
4023,12.8908,51.5715,6.22
4104,13.1692,-24.0059,5.47
4147,13.252,-1.1442,4.78
4151,13.2678,61.1236,4.8
4164,13.3016,-24.777,6.44
4185,13.3676,37.4183,6.07
4200,13.4074,-62.8714,5.73
4212,13.448,52.6893,6.27
4257,13.5733,-8.7405,6.15
4267,13.6467,19.1884,5.8
4283,13.7198,83.7075,5.59
4288,13.7417,23.6284,5.46
4292,13.7508,58.9728,4.83
4293,13.7512,-69.527,5.45
4298,13.7718,48.6785,6.28
4317,13.8111,24.5571,6.19
4346,13.9267,-7.347,5.88
4363,13.9814,-27.7758,6.11
4366,13.9938,27.2094,6.08
4371,14.0063,-11.2665,5.35
4382,14.038,13.952,6.46
4383,14.0539,57.9966,6.2
4422,14.1667,59.1812,4.62
4427,14.1771,60.7167,2.15
4436,14.1879,38.4993,3.86
4440,14.1956,60.3628,5.56
4446,14.2291,68.7757,6.39
4463,14.3018,23.4178,4.4
4475,14.3314,61.4219,6.44
4501,14.4151,45.8394,6.1
4510,14.459,28.9922,5.44
4520,14.4771,13.6959,6.3
4552,14.5591,33.9511,5.99
4558,14.5787,21.4045,6.47
4563,14.5924,-60.6963,6.23
4572,14.6292,66.3518,5.97
4577,14.6514,-29.3575,4.3
4587,14.6829,-11.3799,5.62
4655,14.957,6.4832,6.14
4675,15.0148,44.7133,5.69
4709,15.1286,70.983,6.4
4770,15.3259,-38.9166,5.59
4786,15.3627,49.5442,6.48
4801,15.4108,-16.2654,6.47
4829,15.5076,-57.0024,6.12
4844,15.577,51.035,6.48
4852,15.6099,-31.552,5.5
4879,15.6787,-65.4561,6.25
4889,15.7045,31.8043,5.5
4890,15.705,-46.3973,5.39
4903,15.7261,41.3452,5.95
4906,15.7361,7.8901,4.27
4911,15.7561,47.3762,6.46
4914,15.7609,-4.8364,5.4
4932,15.824,-29.5258,6.28
4962,15.9042,61.0748,5.92
4979,15.954,1.3669,6.06
4998,16.01,52.5023,5.99
5021,16.0815,61.5802,5.83
5034,16.1149,29.6591,6.2
5042,16.1359,-33.5328,6.44
5074,16.2193,5.6563,6.03
5081,16.2723,14.946,5.64
5121,16.4038,-9.9792,6.09
5131,16.4205,21.4732,5.33
5132,16.4237,21.4655,5.55
5141,16.4551,4.9087,6.35
5165,16.5213,-46.7185,3.32
5164,16.5214,-9.8394,5.58
5170,16.5322,-23.9924,6.12
5175,16.5466,32.1815,6.28
5204,16.6401,12.956,6.14
5240,16.7503,56.9352,6.41
5251,16.7893,53.4982,6.31
5259,16.8036,-23.9963,6.36
5268,16.8274,-61.7753,5.36
5296,16.9422,-9.7856,5.71
5300,16.9493,-41.4869,5.21
5310,16.988,20.7393,5.56
5315,16.9983,1.9941,6.44
5317,17.003,43.9422,5.04
5319,17.005,32.0122,6.23
5336,17.0538,54.9242,5.17
5346,17.0931,5.6502,5.51
5348,17.0961,-55.2458,3.94
5361,17.1394,58.2635,5.77
5364,17.1469,-10.1819,3.46
5372,17.184,86.2571,4.24
5412,17.3012,80.0117,6.24
5434,17.3755,47.2418,4.26
5447,17.4325,35.6208,2.07
5454,17.455,19.6584,5.57
5477,17.5307,-57.6941,6.41
5483,17.5476,15.674,6.07
5485,17.5498,-8.906,6.4
5493,17.5785,42.0816,5.67
5494,17.581,25.458,5.81
5510,17.6398,2.4457,5.97
5518,17.6636,68.7787,5.32
5542,17.7747,55.1499,4.34
